Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 18:17 EST
"Nutrient data for: 11270, Mustard greens, raw"
Nutrient,Unit,.625Value per 62.5 g,"1 cup, chopped = 56.0g",
Proximates
"Water",g,56.69,50.79
"Energy",kcal,17,15
"Protein",g,1.79,1.60
"Total lipid (fat)",g,0.26,0.24
"Carbohydrate, by difference",g,2.92,2.62
"Fiber, total dietary",g,2.0,1.8
"Sugars, total",g,0.83,0.74
Minerals
"Calcium, Ca",mg,72,64
"Iron, Fe",mg,1.02,0.92
"Magnesium, Mg",mg,20,18
"Phosphorus, P",mg,36,32
"Potassium, K",mg,240,215
"Sodium, Na",mg,12,11
"Zinc, Zn",mg,0.16,0.14
Vitamins
"Vitamin C, total ascorbic acid",mg,43.8,39.2
"Thiamin",mg,0.050,0.045
"Riboflavin",mg,0.069,0.062
"Niacin",mg,0.500,0.448
"Vitamin B-6",mg,0.112,0.101
"Folate, DFE",µg,8,7
"Vitamin B-12",µg,0.00,0.00
"Vitamin A, RAE",µg,94,85
"Vitamin A, IU",IU,1890,1693
"Vitamin E (alpha-tocopherol)",mg,1.26,1.13
"Vitamin D (D2 + D3)",µg,0.0,0.0
"Vitamin D",IU,0,0
"Vitamin K (phylloquinone)",µg,160.9,144.2
Lipids
"Fatty acids, total saturated",g,0.006,0.006
"Fatty acids, total monounsaturated",g,0.057,0.052
"Fatty acids, total polyunsaturated",g,0.024,0.021
"Fatty acids, total trans",g,0.000,0.000
"Cholesterol",mg,0,0
Amino Acids
Other
"Caffeine",mg,0,0
